id,image data,nlp data,num_data,revenue
0,9474910,18266984,29105336,12314651
1,17163082,12540511,93801820,95149435
2,14086309,6238081.5,245224770,13092000
3,17597708,9775520,2862744.2,16000000
4,4827690.5,3949938.5,1245192.8,3923970
5,2467343.5,6541385.5,4216039,3261638
6,13415480,10186158,12848625,85446075
7,495292.94,2786380.8,144886.67,2586511
8,19415366,18109918,31878492,34327391
9,20579476,9604671,9148194,18750246
10,4500860,15177399,132149040,117235147
11,21309264,18557740,12703684,22642033
12,8292669,8468688,302739740,356296601
13,13033883,7376180,130848620,95226116
14,10980750,19151144,310608420,358372926
15,5691217,6299280.5,87739.48,198
16,5951075,10856873,30544778,57891803
17,9534367,3819212,1323495.9,1234254
18,9902831,3418877.8,3268367,1749457
19,12918221,15961118,71186060,85167639
20,16615280,21684822,138446980,136159423
21,16009643,12263357,6942443.5,36690067
22,2214815.5,9566505,9999668,100345
23,21337580,3094872,66694.09,17011
24,20205158,4786957.5,1263505.1,4947717
25,9995099,11984534,2052691.9,8403433
26,10155019,4308357.5,4623623.5,13835130
27,7297823,3166605.5,15671987,7847000
28,9487083,17956760,5189313.5,5849647
29,9599157,12294462,54132750,94935764
30,10693649,9131611,179842400,426480871
31,6988766,1658438,2641016,36000000
32,14109330,23274796,173807820,146936910
33,21616928,3418423.5,6710624.5,7171
34,5581760,13552653,238190320,258022233
35,16471697,10907080,38699256,40346186
36,6209239,601643.3,1178253.6,151559
37,9169215,18274534,65747990,189859560
38,1428023,2939667.8,123824.984,92100
39,15857067,9675559,647287.7,14873
40,3963629.2,4403665,300373.03,163000
41,22327116,13789747,18791246,16217773
42,4360071.5,8846964,8840925,24362772
43,15697024,4873654,5662709.5,1020921
44,10381289,8334180,7456120.5,47175038
45,888112.8,2954350,754673.44,4300000
46,25465356,20445076,220557520,660940780
47,11261684,9806287,180036400,155760117
48,1465194.5,9528025,13056039,653951
49,21049930,20462912,60908796,120000000
50,7812009.5,6775859.5,353185.94,1500000
51,5756932,20429240,11834925,25333333
52,22925644,17492310,5113042,11000000
53,4712327,10520096,1251429.9,17514553
54,19818928,18166530,11649742,46069568
55,16167918,7226526,3204051,36448200
56,1643242.6,6873764.5,246429.48,1056938
57,24493302,21539422,261535900,238207122
58,6361211,1347208.9,233116.06,119563
59,1897564.2,12133245,8802703,25482931
60,13295720,18451180,431442460,599045960
61,15149521,2865041.5,1505207.8,14400000
62,16795570,14383791,6456645.5,25232289
63,10121935,14098350,7909185,14000000
64,14651886,10833262,30222048,17654912
65,10890813,13539938,10538972,11806119
66,6001842.5,6659469.5,6485020,204940
67,8590881,283666.1,425052.94,154120
68,5953081,11910394,61415004,13129846
69,14931117,16160388,155917040,158468292
70,3361325.8,12787640,55187100,21126225
71,662677.5,8202300,3088371.8,16756372
72,7074357,9569177,14656693,8266343
73,703656.9,415159.88,16050.533,17393
74,1362774.5,8063361,1103019,2300000
75,21102932,14960474,37405920,24922237
76,4078771.5,296469.4,308883.53,500000
77,7618200,15499222,60618520,39846344
78,10439275,14771858,2505580.2,35610100
79,19393100,11731005,343054.25,779820
80,17500402,10309298,5035952,9237470
81,23023796,7263206.5,4820104.5,11588205
82,13898175,14339140,61061640,91974818
83,11600994,15646924,15324303,40400657
84,7378398,6396752.5,2417539,13101672
85,4837291.5,21216784,42895052,152022101
86,2122111.2,12986855,14127010,106260000
87,1989182.9,14050832,9155876,32392047
88,8267293.5,8720277,14417392,13162475
89,5030869,14535343,2313857.8,140081992
90,10001619,14593789,335630880,180949000
91,414901.1,3369302.2,745555.7,215339
92,7985488,6021959,10707030,15000000
93,6216696,7102170,4162421.8,2724474
94,14977122,5943420.5,82334400,20117339
95,10448234,1677083.9,291555.06,14353
96,248706.11,4795607.5,331273.78,3358
97,335356.78,353799.53,818492.06,73000
98,15325996,11319279,10142647,23000000
99,10778274,9783520,3940832.8,46616067
100,17815162,16859884,3026065.8,9229401
101,2168375.5,15205955,281840320,313542341
102,14391874,6287015,83950.79,14961069
103,12531766,7716092,3168996,5310554
104,2659196.2,12308540,6174100,149521495
105,13199524,7964487.5,4809621.5,16505460
106,14091471,9130408,25876478,15134293
107,19752506,7113317.5,346015300,210000000
108,18512192,11195245,2441126.8,18535191
109,19348778,13821750,9305748,34562222
110,7573608.5,15790276,131526104,67631903
111,3952321.8,10809598,24523126,22034832
112,13615285,20245578,176157970,93820758
113,4944917,18789424,8016240.5,51684798
114,14789265,19077554,595873600,871368364
115,12531686,12129222,15420369,41604473
116,16757290,3826659.2,14002154,311
117,16043716,12397285,25666704,253625427
118,3687584,5363398.5,1215281.9,1796389
119,18995232,10965467,5485549,18814720
120,12013181,19135374,168468640,347325802
121,9217796,22458386,289383230,448000000
122,11091074,10848813,2176404,5585154
123,4154006.2,18752000,20146094,91036760
124,6622382.5,11159851,114459840,60722734
125,6651885.5,9086758,14170966,7400000
126,14458913,11424348,6944991.5,15500000
127,13134949,5441763.5,14901045,12008642
128,14444837,16767990,12225372,46201432
129,6424763.5,6577627,3250920.2,5731103
130,7736476.5,5805828.5,4399185,9800000
131,12089899,2103661.5,2473397.2,5206
132,10133234,7415882.5,894865.75,2452566
133,24279630,16735540,171331250,211780824
134,5421484,10693359,13517777,33000000
135,2105151,1467222,1408250.5,300000
136,9780427,3759678.8,1316090.9,120680
137,6947393.5,8434309,10271024,4350774
138,19730636,10648982,5380754,3065860
139,22681080,28071010,291645340,407711549
140,13799908,13555658,4359692.5,14000000
141,13058626,7528354,4665744,31466789
142,8078117,6027913,548604.7,615816
143,12965526,1752597.6,2849041.8,382174
144,15867331,9228816,4799233.5,11000000
145,4678476,4628037,564796.1,9188
146,16689107,13063387,12714702,19510371
147,16515594,14217727,81253624,86758912
148,12698552,14677333,32116340,147214049
149,11828151,9018429,4986153,432274
150,1258493.1,10326551,733593,18
151,2396634.8,224661.84,182953.75,16905
152,5668706.5,2692016.5,794071.7,241
153,7852155.5,6647069,4462565.5,52425855
154,13658964,10480647,2327651.8,5091888
155,18499056,27309386,29713626,109862682
156,977011,1644931,1784389.1,8262833
157,21687034,15185920,1735129.9,447784
158,16450594,18832744,48749108,19412993
159,17324058,9106743,25044506,18552460
160,9262111,1136745.4,2042826.1,113783
161,11632046,5106108.5,1509240.4,12277096
162,15127568,4804609.5,1704656.8,3200000
163,8931017,6747925.5,24644658,17096053
164,14311141,21540794,38267216,62771059
165,11328281,9539168,1958913.4,25000
166,14325021,2547532,7186024,1723872
167,10680796,10223838,31634098,144216468
168,1050116.1,8907888,11228603,41833347
169,18082896,15362835,32264286,24600832
170,21601954,13877286,13324901,55600000
171,10425693,6184621.5,2627616.5,2585639
172,2530469.8,12659629,7524962,12000000
173,11101658,13870718,16553372,2807854
174,6637693,8789311,5337342.5,29007412
175,11594286,20288282,123926136,207283925
176,16828324,17859378,76313416,14828081
177,1120863.5,3948237.8,918664.94,532654
178,22111920,11298978,86107720,125212904
179,6672495.5,19910436,73486984,156167015
180,16023364,8093548,18829912,31148328
181,6366659.5,4207763.5,1566446.1,20957001
182,13269299,10593803,7285461,21830957
183,20777540,10734567,7880780.5,17555141
184,2713115.2,17813076,187698600,237681299
185,3335736.2,6405094,2294653.8,161001698
186,2054273.8,6793022,8190106.5,3833507
187,1042568.8,4446981.5,1944776.5,921000
188,23935326,23751474,539209150,521311860
189,12284112,8409639,5017771,16337881
190,16954196,9421926,5896910,16675000
191,6024556.5,12626980,54391504,79700000
192,16200589,12383317,5351848.5,37915971
193,20545338,13720365,8205441,13168027
194,6840734.5,589805.1,628561.9,744816
195,5906112.5,7471943.5,452850.1,115605
196,613332.44,5011557,1170096.5,136203
197,14045700,30291676,75858480,77920346
198,1061980.1,17924144,9947428,12372410
199,6124314.5,9918931,27320136,19054534
200,18606786,18011188,148513600,144000000
201,8664328,8991252,6350419.5,3916303
202,15138827,20328310,70231930,110000000
